pdb, traj, TF, DnaK, GroEL, aggregation, degradation, function
1p7l,32,True,True,False,True,False,False
1p7l,33,True,True,True,True,True,False
1p7l,30,True,True,False,True,False,False
1p7l,31,True,True,False,False,False,False
2r5n,1,True,False,True,False,False,True
2r5n,3,True,True,True,True,True,False
2r5n,2,True,True,True,False,False,True
2r5n,5,True,False,True,False,False,True
2r5n,4,True,True,True,True,True,True
2r5n,7,True,True,True,True,True,False
2r5n,6,True,False,True,False,False,True
1ksf,48,True,True,True,True,True,False
1ksf,49,True,True,True,True,True,False
1ksf,44,True,True,True,True,True,False
1ksf,45,True,True,True,True,True,False
1ksf,46,True,True,True,True,True,False
1ksf,41,True,True,True,True,True,True
1ksf,42,True,True,True,True,True,False
1ksf,43,True,True,True,True,True,False
1p91,11,False,True,True,True,True,False
1p91,10,False,True,True,True,True,False
1p91,13,False,False,True,False,False,True
1p91,12,False,False,True,False,False,True
1p91,17,False,True,True,True,True,False
1p91,16,False,False,True,False,False,True
4hr7,39,False,True,True,True,True,False
4hr7,38,False,True,False,True,False,True
4hr7,33,False,True,False,True,False,True
4hr7,32,False,True,True,True,True,False
4hr7,31,False,True,False,True,False,True
4hr7,30,False,True,True,True,True,False
4hr7,37,False,True,False,True,False,True
4hr7,36,False,True,False,True,False,True
4hr7,35,False,True,True,True,True,False
4hr7,34,False,True,False,True,False,True
2fym,29,True,True,True,True,True,True
2fym,21,True,True,True,True,True,True
2fym,20,True,True,True,True,True,True
2fym,23,True,True,True,False,True,False
2fym,27,True,True,False,False,False,True
2fym,26,True,True,True,True,True,True
1zyl,25,True,True,True,True,True,True
1zyl,21,True,True,True,False,False,True
1zyl,20,True,True,True,True,True,True
1zyl,22,True,True,True,False,False,True
2pth,35,True,True,True,True,True,True
2o1c,42,True,True,True,True,True,False
1t4b,50,True,False,False,False,False,True
1cli,28,True,False,True,True,True,False
1cli,20,True,False,True,False,False,True
1cli,21,True,False,True,True,True,False
1cli,23,True,False,True,True,True,False
1cli,24,True,False,True,False,False,True
1cli,25,True,False,True,True,True,False
1cli,26,True,False,True,True,True,False
1cli,27,True,False,True,False,False,True
1k7j,35,True,False,False,False,False,True
1k7j,31,True,False,False,False,False,True
1k7j,30,True,True,True,True,True,True
1k7j,32,True,True,True,True,True,False
2hna,33,True,True,True,True,False,False
1dfu,29,True,True,True,True,True,True
1dfu,28,True,True,True,True,True,True
1p7l,50,True,True,True,True,True,False
1dxe,8,True,True,True,False,False,True
1dxe,9,True,True,True,False,False,True
2v81,4,True,True,True,False,False,True
2v81,6,True,True,True,False,False,True
2v81,1,True,True,True,False,False,True
2v81,3,True,True,True,False,False,True
2v81,9,True,True,True,False,False,True
2v81,8,True,True,True,False,False,True
2fym,41,True,True,True,True,True,True
2fym,49,True,True,True,True,True,True
4hr7,15,False,True,True,True,True,False
4hr7,14,False,True,True,True,True,False
4hr7,17,False,True,True,True,True,False
4hr7,16,False,True,False,True,False,True
1yqq,8,False,True,True,False,True,True
1yqq,9,True,True,True,False,False,True
4hr7,13,False,True,True,True,True,False
4hr7,12,False,True,True,True,True,False
1yqq,4,True,True,True,False,True,True
1yqq,5,True,True,True,False,False,True
1yqq,6,True,True,True,False,True,True
1yqq,7,False,True,True,False,False,True
4hr7,19,False,True,True,True,True,False
1yqq,1,False,True,True,False,False,True
1yqq,2,True,True,True,False,False,True
1yqq,3,False,True,True,False,True,True
1gyt,47,False,True,False,False,False,True
1a6j,38,True,True,True,True,True,False
1gyt,28,False,True,False,False,False,True
1gyt,29,False,True,False,False,False,True
1gyt,26,False,True,False,False,False,True
1gyt,27,False,True,False,False,False,True
1gyt,24,False,True,False,False,False,True
1gyt,25,False,True,False,False,False,True
1gyt,22,False,True,False,False,False,True
1gyt,23,False,True,False,False,False,True
1gyt,20,False,True,False,False,False,True
1gyt,21,False,True,False,False,False,True
2o1c,29,True,True,True,True,True,False
4e8b,28,False,True,True,False,True,False
4e8b,29,False,True,True,False,True,False
4e8b,26,False,True,True,False,True,False
4e8b,27,False,True,True,False,True,False
4e8b,24,False,True,True,False,True,False
4e8b,25,False,True,True,False,True,False
4e8b,22,False,True,True,False,True,False
4e8b,23,False,True,True,False,True,False
4e8b,20,False,True,True,False,True,False
4e8b,21,False,True,True,False,True,False
4kn7,43,False,False,False,False,False,True
4kn7,42,False,False,False,False,False,True
4kn7,49,False,False,False,False,False,True
4kn7,48,False,False,False,False,False,True
1ng9,34,True,True,True,True,True,False
1ng9,32,True,True,True,False,True,True
1ng9,38,True,True,True,True,True,False
2hnh,34,True,False,True,False,False,True
2hnh,36,True,False,True,False,False,True
2hnh,31,True,False,True,False,False,True
2hnh,32,True,True,True,True,True,False
2hnh,39,True,True,True,True,True,False
1w8g,30,True,True,True,True,True,False
1w8g,36,True,True,True,True,True,False
1fts,23,True,True,True,True,True,True
2qcu,28,True,True,True,True,True,True
2qcu,29,True,True,True,True,True,True
2qcu,22,True,True,True,True,True,True
2qcu,23,True,True,True,True,True,True
2qcu,20,True,True,True,True,True,True
2qcu,26,True,True,True,True,True,True
2qcu,24,True,True,True,True,True,True
1gz0,25,False,True,True,True,True,True
1gz0,24,False,True,True,False,False,True
1gz0,27,False,True,True,True,True,True
1gz0,26,False,True,True,True,True,True
1gz0,21,False,True,True,True,True,True
1gz0,20,False,True,True,True,True,True
1gz0,23,False,True,True,True,True,True
1gz0,22,False,True,True,True,True,True
1gz0,29,False,True,True,True,True,True
1gz0,28,False,True,True,True,True,True
4im7,21,True,True,True,True,True,False
1k7j,50,True,False,False,False,False,True
1zyl,49,True,True,True,False,False,True
1zyl,47,True,True,True,True,True,True
1zyl,46,True,True,True,False,False,True
1zyl,45,True,True,True,True,True,True
1zyl,42,True,True,True,False,False,True
1xru,34,False,True,True,True,True,False
1xru,35,True,True,True,True,True,True
1xru,37,False,True,True,True,False,True
1gyt,48,False,True,False,False,False,True
1gyt,49,False,True,False,False,False,True
1fui,48,False,True,True,False,False,True
1fui,49,False,True,True,False,False,True
1gyt,40,False,True,False,False,False,True
1gyt,41,False,True,False,False,False,True
1fui,46,False,True,True,False,False,True
1gyt,43,False,True,False,False,False,True
1gyt,44,False,True,False,False,False,True
1fui,41,False,True,True,False,False,True
1gyt,46,False,True,False,False,False,True
1fui,43,False,True,True,False,False,True
1ksf,7,True,True,True,True,True,False
2kfw,21,True,True,True,True,True,False
2kx9,42,True,True,True,True,True,False
4e8b,48,False,True,True,False,True,False
4e8b,49,False,True,True,False,True,False
4e8b,40,False,True,True,False,True,False
4e8b,41,False,True,True,False,True,False
4e8b,42,False,True,True,False,True,False
4e8b,43,False,True,True,False,True,False
4e8b,44,False,True,True,False,True,False
4e8b,45,False,True,True,False,True,False
4e8b,46,False,True,True,False,True,False
4e8b,47,False,True,True,False,True,False
3gn5,24,False,True,True,True,True,False
3gn5,25,False,True,True,True,True,False
1ng9,12,True,True,True,True,True,False
1ng9,19,True,True,True,True,True,False
3gn5,29,True,True,True,True,True,False
2hnh,18,True,True,True,True,True,True
2hnh,17,False,True,True,False,True,True
2hnh,14,True,True,True,True,True,False
2hnh,12,True,True,True,True,True,False
2hnh,13,True,True,True,True,True,True
2hnh,10,True,False,True,False,False,True
1woc,29,True,True,True,True,True,True
1woc,24,True,True,True,True,True,True
4hr7,47,False,True,True,True,True,False
3pco,50,True,False,True,True,False,True
4dcm,4,True,True,True,True,True,False
1xvi,29,False,True,True,False,True,False
1xvi,28,False,True,True,False,True,False
1xvi,27,False,True,True,False,True,False
1xvi,26,False,True,True,False,True,False
1xvi,25,False,True,True,False,True,False
1xvi,24,False,True,True,True,True,True
1xvi,23,False,True,True,True,True,True
1xvi,22,False,True,True,False,True,False
1xvi,21,False,True,True,True,True,True
1xvi,20,False,True,True,True,True,True
2ptq,27,True,True,True,True,True,True
